code	province	city	latitude	longitude	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count
10000	Seoul	Seoul	37.566953	126.977977	607	830	48	1.44	15.38	5.8	22739
11000	Busan	Busan	35.179884	129.074796	304	408	22	1.4	18.41	8.6	6752
12000	Daegu	Daegu	35.87215	128.601783	229	355	11	1.62	15.78	7.5	5083
13000	Gwangju	Gwangju	35.160467	126.851392	155	312	17	2.38	13.57	6.4	2852
14000	Incheon	Incheon	37.456188	126.70592	250	403	7	1.27	13.2	5.8	4497
15000	Daejeon	Daejeon	36.350621	127.384744	148	260	15	1.49	13.65	5.8	2984
16000	Ulsan	Ulsan	35.539797	129.311538	119	200	4	2.21	11.76	5.2	1801
17000	Sejong	Sejong	36.480132	127.289021	48	60	3	1.78	9.48	3.8	491
20000	Gyeonggi-do	Gyeonggi-do	37.275119	127.009466	1277	2237	61	1.6	12.63	5.2	20491
30000	Gangwon-do	Gangwon-do	37.885369	127.729868	349	368	18	1.42	19.89	9.8	2519
40000	Chungcheongbuk-do	Chungcheongbuk-do	36.63568	127.491384	259	328	17	1.39	17.28	8.5	2769
41000	Chungcheongnam-do	Chungcheongnam-do	36.658976	126.673318	409	499	21	1.38	18.4	8.9	3641
50000	Jeollabuk-do	Jeollabuk-do	35.820308	127.108791	419	519	19	2.12	20.6	10.9	3774
51000	Jeollanam-do	Jeollanam-do	34.816095	126.463021	429	542	19	1.45	22.81	13.5	3389
60000	Gyeongsangbuk-do	Gyeongsangbuk-do	36.576032	128.505599	471	707	33	1.33	20.85	11.1	4474
61000	Gyeongsangnam-do	Gyeongsangnam-do	35.238294	128.692397	501	686	21	1.78	16.51	9.1	5364
70000	Jeju-do	Jeju-do	33.488936	126.500423	113	123	4	1.53	15.1	6.4	1245
