date	time	test	negative	confirmed	released	deceased	time_time_age	age	confirmed_time_age	deceased_time_age	time_time_gender	sex	confirmed_time_gender	deceased_time_gender	time_time_province	province	confirmed_time_province	released_time_province	deceased_time_province
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Seoul	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Busan	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Daegu	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Incheon	1	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Gwangju	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Daejeon	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Ulsan	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Sejong	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Gyeonggi-do	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Gangwon-do	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Chungcheongbuk-do	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Chungcheongnam-do	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Jeollabuk-do	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Jeollanam-do	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Gyeongsangbuk-do	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Gyeongsangnam-do	0	0	0
2020-01-20	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Jeju-do	0	0	0
2020-01-21	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Seoul	0	0	0
2020-01-21	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Busan	0	0	0
2020-01-21	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Daegu	0	0	0
2020-01-21	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Incheon	1	0	0
2020-01-21	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Gwangju	0	0	0
2020-01-21	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Daejeon	0	0	0
2020-01-21	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Ulsan	0	0	0
2020-01-21	16	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	16	Sejong	0	0	0
