date	parameter	value
2020-01-20	confirmed_cases_per_day	0
2020-01-20	coronavirus_search_trend	20.6961
2020-01-21	confirmed_cases_per_day	0
2020-01-21	coronavirus_search_trend	35.33284
2020-01-22	confirmed_cases_per_day	0
2020-01-22	coronavirus_search_trend	29.74474
2020-01-23	confirmed_cases_per_day	0
2020-01-23	coronavirus_search_trend	100
2020-01-24	confirmed_cases_per_day	1
2020-01-24	coronavirus_search_trend	86.11541
2020-01-25	confirmed_cases_per_day	0
2020-01-25	coronavirus_search_trend	62.84847
2020-01-26	confirmed_cases_per_day	1
2020-01-26	coronavirus_search_trend	39.62772
2020-01-27	confirmed_cases_per_day	1
2020-01-27	coronavirus_search_trend	57.07446
2020-01-28	confirmed_cases_per_day	0
2020-01-28	coronavirus_search_trend	72.63073
2020-01-29	confirmed_cases_per_day	0
2020-01-29	coronavirus_search_trend	52.06261
2020-01-30	confirmed_cases_per_day	2
2020-01-30	coronavirus_search_trend	45.93889
2020-01-31	confirmed_cases_per_day	5
2020-01-31	coronavirus_search_trend	58.4187
2020-02-01	confirmed_cases_per_day	1
2020-02-01	coronavirus_search_trend	41.5073
2020-02-02	confirmed_cases_per_day	3
2020-02-02	coronavirus_search_trend	41.73647
2020-02-03	confirmed_cases_per_day	0
2020-02-03	coronavirus_search_trend	50.1994
2020-02-04	confirmed_cases_per_day	1
2020-02-04	coronavirus_search_trend	37.28806
2020-02-05	confirmed_cases_per_day	2
2020-02-05	coronavirus_search_trend	35.23094
2020-02-06	confirmed_cases_per_day	5
2020-02-06	coronavirus_search_trend	39.3959
2020-02-07	confirmed_cases_per_day	1
2020-02-07	coronavirus_search_trend	31.71404
2020-02-08	confirmed_cases_per_day	0
2020-02-08	coronavirus_search_trend	40.46614
2020-02-09	confirmed_cases_per_day	3
2020-02-09	coronavirus_search_trend	36.07691
2020-02-10	confirmed_cases_per_day	0
2020-02-10	coronavirus_search_trend	52.11234
2020-02-11	confirmed_cases_per_day	1
2020-02-11	coronavirus_search_trend	18.13918
2020-02-12	confirmed_cases_per_day	0
2020-02-12	coronavirus_search_trend	15.90997
2020-02-13	confirmed_cases_per_day	0
2020-02-13	coronavirus_search_trend	15.08472
2020-02-14	confirmed_cases_per_day	0
2020-02-14	coronavirus_search_trend	16.94803
2020-02-15	confirmed_cases_per_day	0
2020-02-15	coronavirus_search_trend	10.34468
2020-02-16	confirmed_cases_per_day	1
2020-02-16	coronavirus_search_trend	9.79906
2020-02-17	confirmed_cases_per_day	1
2020-02-17	coronavirus_search_trend	10.98521
2020-02-18	confirmed_cases_per_day	1
