.rownames	city	confirmed	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
1	Andong-si	50	30	42	3	1.57	23.95	12.4	290	4. High	-0.1929953976405629	-0.4893208582874243	0.17086017067455236	-0.9396510998520173	0.2258949270059109	-0.020040294846096256	0.08756835500388542
2	Ansan-si	16	54	94	4	1.49	10.35	4.6	1024	3. Moderate	-3.2877434066517557	-0.5860428973102505	0.4348501788847863	0.3590770719576637	-0.24186314578273693	0.13509856210242027	-0.15600414716035488
3	Anseong-si	2	35	51	3	1.27	16.95	7.2	271	2. Low	-0.9057519016657055	-0.057283365076607154	0.8989552155227276	-0.11115892169065605	0.3640236103486403	-0.09151854176348662	0.08353368485183355
4	Anyang-si	18	41	79	4	1.86	12.88	5.1	1099	3. Moderate	-2.95699021337547	-0.10084765606523637	0.04963912402310933	-0.34064857344307126	-0.600882267294411	0.2914722645216058	0.014926856429418878
5	Asan-si	10	46	60	3	1.29	12.89	6.1	435	3. Moderate	-1.6700371428311085	-0.1165556892810778	0.8205582440521502	0.24838527773784963	0.39959787608152736	-0.2805134541400266	-0.17138022252099558
6	Bonghwa-gun	71	14	17	0	0.37	35.26	20	47	4. High	2.915609534323236	-1.1481156346835562	-0.16522651031592517	0.3157401394593258	-0.1321204013577425	0.07171506781896574	0.06724688447857359
7	Bucheon-si	70	64	124	4	1.51	12.77	5.4	1432	4. High	-4.063056364878857	-1.405302885012146	-0.23460079587697802	0.7008600150445263	-0.5695493067817454	0.37636066821344916	0.009996130779961143
8	Buk-gu	10	27	37	1	1.35	16.04	8.4	465	3. Moderate	-0.3960034561817487	0.6222929076530399	0.01737026788694608	0.31714160724172946	0.06796779327132409	-0.05438562140279151	-0.16872890075938
9	Buk-gu	10	38	73	4	1.43	13.95	6.3	748	3. Moderate	-2.135044791383585	-0.3046791384236215	0.6986944131453366	-0.14639693491926253	-0.27494943043647624	0.28762320842955014	-0.03767458620062564
10	Buk-gu	10	46	105	6	2.13	14.35	6.9	782	3. Moderate	-3.400969742816375	-0.9134273424072207	0.5546510953124717	-1.2723217290558242	0.15832054519898542	0.6920047644815647	0.11695277636113623
11	Buk-gu	10	22	45	0	1.73	7.69	3.4	211	3. Moderate	-0.9237960148637812	1.9496319325955738	0.14447374411340752	0.5760912017104197	0.9383578304492004	0.22599792818247474	-0.12905007028364174
12	Bupyeong-gu	15	42	66	0	1.27	13.83	6.2	847	3. Moderate	-1.4280969396484156	0.33192341717127977	-0.5933807866768143	1.3729246904025973	0.0037912980443284283	-0.061884975136779	-0.07837896881068024
13	Busanjin-gu	13	32	43	3	1.62	19.01	8.7	986	3. Moderate	-1.3905891763385203	-0.047905103769291704	-0.21014557073068613	-0.44851972356491493	-0.9336284540450492	-0.09728713482034948	-0.0312300961570727
14	Buyeo-gun	11	24	27	1	0.79	33.3	17.4	137	3. Moderate	1.8257238696169005	-1.1400097580155872	-0.16400798805789096	-0.10528149596308851	0.045755525267209274	-0.12283121433830727	0.22188879429640088
15	Changnyeong-gun	9	17	20	0	0.8	29.8	18.4	129	3. Moderate	2.1354276003940855	-0.597790858114967	-0.3852938826658611	0.13571300021859217	0.0767749612584897	0.05848347761763381	-0.1798842914842902
16	Changwon-si	29	110	195	5	1.84	13.64	6.5	1701	4. High	-6.354546662010809	-3.461490916644732	-0.9868533340989403	1.0179915831796693	0.3912160282403998	0.1810707037889627	0.09862869469003704
17	Cheonan-si	106	75	112	6	1.91	10.42	4.5	1069	4. High	-4.575559672570936	-1.4206985469328002	0.5294209026293903	-0.3931370909041485	0.13095615755423595	-0.23148365634255008	-0.13575882603620704
18	Cheongdo-gun	43	11	14	0	0.63	36.55	21	85	4. High	2.964267729730816	-1.0602389269626145	-0.4969785498681255	-0.07911124693303065	-0.17124034864591275	0.13799341911365595	0.0839168125225464
19	Cheongju-si	12	92	131	8	1.67	12.82	6	1420	3. Moderate	-5.484434437649572	-2.8404888138812687	0.7581970198277554	-0.48533035621577236	-0.458950341301956	-0.4125163684304001	-0.20317941651559746
20	Cheongsong-gun	2	8	8	0	0.51	36.08	19.4	55	2. Low	3.061630631624828	-0.8260758677604316	-0.22902705371088528	0.04539759647036634	-0.2825104295926437	0.07923701624223899	0.20145144597489562
21	Chilgok-gun	50	21	32	2	1.48	15.17	6.7	151	4. High	-0.33527329256019245	0.9401990371274257	0.7134244665417386	-0.263611238002595	0.4291389126166263	0.027747661055885647	0.013293362316017902
22	Chuncheon-si	5	40	43	5	1.5	17.1	7.6	472	2. Low	-1.5505834670740406	-0.39865683419027503	1.1362925168143319	-0.9773203747805665	-0.15114615572456513	-0.38017327632787073	-0.06198276696345596
23	Chungju-si	11	37	44	2	1.39	19.07	9	347	3. Moderate	-0.5967839837543274	-0.05049381543394314	0.22805997107765613	-0.04570349522772618	0.3617021433702771	-0.28878997660437444	0.01950502060219697
24	Daedeok-gu	3	21	29	2	1.35	14.97	6.9	310	2. Low	-0.36790449433928213	0.8732807332699011	0.6737590690969201	-0.09359080279309817	0.05144906924290668	-0.018962663678140597	-0.08777704624751233
25	Dalseo-gu	4	55	78	3	1.72	13.56	6.5	1064	2. Low	-2.8203276107189414	-0.45664430999278516	-0.3070771471493723	0.18592278073226587	-0.24240730295394508	-0.21857241249608594	-0.1665147336720447
26	Dalseong-gun	1	32	47	1	1.51	12.11	5.4	361	2. Low	-1.003309918028197	0.9588113414236166	0.2117131758242769	0.4563055156537963	0.5559813768314877	-0.07721565787186496	-0.09040541076219087
27	Danyang-gun	1	11	11	0	0.5	29.52	15.8	52	2. Low	2.4151410258411925	-0.2792608475544157	0.15829906740152405	0.42384984473871756	-0.12192275974610833	0.0095669183544091	0.05612808602821466
28	Dobong-gu	7	23	26	1	0.95	17.89	7.2	485	3. Moderate	0.02961055600760209	0.6151954495985915	0.4033102048492736	0.6398563020078935	-0.36602607808592513	-0.19930756446600353	0.03658168524545972
29	Dong-gu	12	7	9	0	0.83	25.42	13.8	239	3. Moderate	1.8386764741928172	0.3792627971074183	-0.044289904098901434	0.26332228274358305	-0.3435258686740828	0.1191437538932343	-0.04945918162911304
30	Dong-gu	12	32	58	0	1.15	18.81	9	649	3. Moderate	-0.4519761704126242	0.11594268965705185	-0.5249935657198762	1.0330167364914318	0.005949379265400734	0.1505946013868226	0.05380458407105692
31	Dong-gu	12	11	18	3	2.88	21.59	8.8	327	3. Moderate	-0.6268764078977133	1.3650704847396566	-0.5571193410470179	-2.500322410560264	0.2497408575499484	0.12082996484946837	0.40779097142369497
32	Dong-gu	12	8	12	1	0.68	21.62	10.5	122	3. Moderate	1.387201942182141	0.5526971496691822	0.8191428691465139	0.3227114098655811	-0.24882861187718242	0.10206514524850069	0.008082737768684144
33	Dong-gu	12	23	35	4	0.93	18.16	8.1	447	3. Moderate	-0.49882591220681394	-0.1348790056525259	1.3804712703398552	-0.31726278351524545	-0.6201600452698712	0.053065937709325287	-0.029717269136816982
34	Dong-gu	12	16	25	1	1.73	11.68	4.4	242	3. Moderate	-0.5109214400192293	1.825008920286639	0.35532702342710665	-0.090834286998438707	0.40441600354661433	0.03469771127309967	-0.007035301802952074
35	Dongdaemun-gu	30	21	31	4	1.06	17.26	6.7	832	4. High	-0.9678546828768324	0.13582038849052425	1.018450593682667	-0.2941823192828287	-1.3328060159405433	0.027019184196467746	-0.01119504925164809
36	Dongducheon-si	4	11	19	1	1.03	19.56	9.7	140	2. Low	0.8788093936844089	0.7718943814519018	0.5709650402455686	0.11679270086963936	0.02778112453401199	0.1418654875965836	-0.014420050054210015
37	Dongjak-gu	28	21	34	3	1.17	15.85	5.2	762	4. High	-0.9892442351983972	0.5586650310293523	0.7753981522224864	0.011885232919467997	-0.9782208304399933	0.041510870848954703	0.09829399236447851
38	Dongnae-gu	33	22	31	0	1.98	17.53	7.7	608	4. High	-0.49460856537564823	1.2926204197572586	-0.9658467469676584	-0.08936038141443897	0.06854643450473152	-0.04287066107837424	0.09286107728851169
39	Eumseong-gun	6	21	24	2	0.88	20.33	9.2	169	2. Low	0.4914372661957729	0.2097192908405856	0.9383237818264548	0.09856623802711993	-0.029050782089446725	-0.13235171288316006	0.04765478141381453
40	Eunpyeong-gu	26	31	44	1	1.09	17	6.5	874	4. High	-0.8704691008260124	0.35109823618549374	-0.12434386110700385	0.8845373505246765	-0.7035170514316245	-0.12491875180144776	0.04996022847256289
41	Gangbuk-gu	5	14	21	0	0.67	19.49	8.5	628	2. Low	0.6460168220020028	0.6967857721989583	0.11700434445695321	1.0988547820185464	-0.8457998418479133	0.030897533973555102	-1.6167194912548172e-4
42	Gangdong-gu	13	27	32	0	1.54	14.55	5.4	1023	3. Moderate	-1.0403938661263497	1.2139586098621034	-0.8034570973268771	0.7580146942895283	-0.7777346996152578	-0.22625925557293056	-0.042241126336499554
43	Gangnam-gu	53	33	38	0	4.18	13.17	4.3	3088	4. High	-4.710612793189627	2.3145224373187636	-5.052941349269476	-1.2076739539847505	-3.151054198791455	-0.2441592429893199	-0.09649816697055835
44	Gangneung-si	7	34	36	4	1.9	20.46	9.6	347	3. Moderate	-0.9751413355998322	-0.10540748971622732	0.41674328412212974	-1.404059920076647	0.1949454410740868	-0.30307592817017576	0.06862724292743995
45	Gangseo-gu	27	36	56	1	1.17	14.39	5.7	1080	4. High	-1.52708411245077	0.3210858366334521	-0.32939653044126294	1.1055428417759703	-0.8123946858711346	-0.04631115562357546	-0.06564249776872369
