date	confirmed_time_age	age
2020-03-02	32	0s
2020-03-02	81	80s
2020-03-02	169	10s
2020-03-02	192	70s
2020-03-02	506	30s
2020-03-02	530	60s
2020-03-02	633	40s
2020-03-02	834	50s
2020-03-02	1235	20s
2020-03-03	34	0s
2020-03-03	93	80s
2020-03-03	204	10s
2020-03-03	224	70s
2020-03-03	578	30s
2020-03-03	597	60s
2020-03-03	713	40s
2020-03-03	952	50s
2020-03-03	1417	20s
2020-03-04	34	0s
2020-03-04	108	80s
2020-03-04	233	10s
2020-03-04	260	70s
2020-03-04	631	30s
2020-03-04	646	60s
2020-03-04	790	40s
2020-03-04	1051	50s
2020-03-04	1575	20s
2020-03-05	38	0s
2020-03-05	124	80s
2020-03-05	257	10s
2020-03-05	288	70s
2020-03-05	659	30s
2020-03-05	699	60s
2020-03-05	847	40s
2020-03-05	1127	50s
2020-03-05	1727	20s
2020-03-06	45	0s
2020-03-06	168	80s
2020-03-06	292	10s
2020-03-06	340	70s
2020-03-06	693	30s
2020-03-06	763	60s
2020-03-06	889	40s
2020-03-06	1217	50s
2020-03-06	1877	20s
2020-03-07	52	0s
2020-03-07	191	80s
2020-03-07	327	10s
2020-03-07	384	70s
2020-03-07	727	30s
2020-03-07	830	60s
2020-03-07	941	40s
2020-03-07	1287	50s
2020-03-07	2038	20s
2020-03-08	58	0s
2020-03-08	212	80s
2020-03-08	360	10s
2020-03-08	409	70s
2020-03-08	760	30s
2020-03-08	878	60s
2020-03-08	975	40s
2020-03-08	1349	50s
2020-03-08	2133	20s
2020-03-09	66	0s
2020-03-09	216	80s
2020-03-09	381	10s
2020-03-09	438	70s
2020-03-09	779	30s
2020-03-09	916	60s
2020-03-09	1005	40s
2020-03-09	1391	50s
2020-03-09	2190	20s
2020-03-10	67	0s
2020-03-10	222	80s
2020-03-10	393	10s
2020-03-10	454	70s
2020-03-10	789	30s
2020-03-10	929	60s
2020-03-10	1030	40s
2020-03-10	1416	50s
2020-03-10	2213	20s
2020-03-11	75	0s
2020-03-11	236	80s
2020-03-11	405	10s
2020-03-11	483	70s
2020-03-11	804	30s
2020-03-11	960	60s
2020-03-11	1082	40s
2020-03-11	1472	50s
2020-03-11	2238	20s
2020-03-12	76	0s
2020-03-12	243	80s
2020-03-12	412	10s
2020-03-12	497	70s
2020-03-12	812	30s
2020-03-12	972	60s
2020-03-12	1101	40s
2020-03-12	1495	50s
2020-03-12	2261	20s
2020-03-13	77	0s
2020-03-13	253	80s
2020-03-13	421	10s
2020-03-13	506	70s
2020-03-13	823	30s
2020-03-13	985	60s
2020-03-13	1117	40s
2020-03-13	1523	50s
2020-03-13	2274	20s
2020-03-14	81	0s
2020-03-14	263	80s
2020-03-14	424	10s
2020-03-14	515	70s
2020-03-14	833	30s
2020-03-14	999	60s
2020-03-14	1133	40s
2020-03-14	1551	50s
2020-03-14	2287	20s
2020-03-15	83	0s
2020-03-15	263	80s
2020-03-15	427	10s
2020-03-15	525	70s
2020-03-15	842	30s
2020-03-15	1012	60s
2020-03-15	1141	40s
2020-03-15	1568	50s
2020-03-15	2301	20s
2020-03-16	85	0s
2020-03-16	270	80s
2020-03-16	432	10s
2020-03-16	531	70s
2020-03-16	849	30s
2020-03-16	1024	60s
2020-03-16	1147	40s
2020-03-16	1585	50s
2020-03-16	2313	20s
2020-03-17	86	0s
2020-03-17	274	80s
2020-03-17	436	10s
2020-03-17	539	70s
2020-03-17	856	30s
2020-03-17	1033	60s
