date	key	value
2020-01-21	test	1
2020-01-21	confirmed	1
2020-01-21	negative	0
2020-01-21	deceased	0
2020-01-22	test	4
2020-01-22	confirmed	1
2020-01-22	negative	3
2020-01-22	deceased	0
2020-01-23	test	22
2020-01-23	confirmed	1
2020-01-23	negative	21
2020-01-23	deceased	0
2020-01-24	test	27
2020-01-24	confirmed	2
2020-01-24	negative	25
2020-01-24	deceased	0
2020-01-25	test	27
2020-01-25	confirmed	2
2020-01-25	negative	25
2020-01-25	deceased	0
2020-01-26	test	51
2020-01-26	confirmed	3
2020-01-26	negative	47
2020-01-26	deceased	0
2020-01-27	test	61
2020-01-27	confirmed	4
2020-01-27	negative	56
2020-01-27	deceased	0
2020-01-28	test	116
2020-01-28	confirmed	4
2020-01-28	negative	97
2020-01-28	deceased	0
2020-01-29	test	187
2020-01-29	confirmed	4
2020-01-29	negative	155
2020-01-29	deceased	0
2020-01-30	test	246
2020-01-30	confirmed	6
2020-01-30	negative	199
2020-01-30	deceased	0
2020-01-31	test	312
2020-01-31	confirmed	11
2020-01-31	negative	245
2020-01-31	deceased	0
2020-02-01	test	371
2020-02-01	confirmed	12
2020-02-01	negative	289
2020-02-01	deceased	0
2020-02-02	test	429
2020-02-02	confirmed	15
2020-02-02	negative	327
2020-02-02	deceased	0
2020-02-03	test	490
2020-02-03	confirmed	15
2020-02-03	negative	414
2020-02-03	deceased	0
2020-02-04	test	607
2020-02-04	confirmed	16
2020-02-04	negative	462
2020-02-04	deceased	0
2020-02-05	test	714
2020-02-05	confirmed	18
2020-02-05	negative	522
2020-02-05	deceased	0
2020-02-06	test	885
2020-02-06	confirmed	23
2020-02-06	negative	693
2020-02-06	deceased	0
2020-02-07	test	1352
2020-02-07	confirmed	24
2020-02-07	negative	1001
2020-02-07	deceased	0
2020-02-08	test	2097
2020-02-08	confirmed	24
2020-02-08	negative	1134
2020-02-08	deceased	0
2020-02-09	test	2598
2020-02-09	confirmed	27
2020-02-09	negative	1683
2020-02-09	deceased	0
2020-02-10	test	3110
2020-02-10	confirmed	27
2020-02-10	negative	2552
2020-02-10	deceased	0
2020-02-11	test	4325
2020-02-11	confirmed	28
2020-02-11	negative	3535
2020-02-11	deceased	0
2020-02-12	test	5624
2020-02-12	confirmed	28
2020-02-12	negative	4811
2020-02-12	deceased	0
2020-02-13	test	6511
2020-02-13	confirmed	28
2020-02-13	negative	5921
2020-02-13	deceased	0
2020-02-14	test	7242
2020-02-14	confirmed	28
2020-02-14	negative	6679
2020-02-14	deceased	0
2020-02-15	test	7734
2020-02-15	confirmed	28
2020-02-15	negative	7148
2020-02-15	deceased	0
2020-02-16	test	8161
2020-02-16	confirmed	29
2020-02-16	negative	7647
2020-02-16	deceased	0
2020-02-17	test	8718
2020-02-17	confirmed	30
2020-02-17	negative	7980
2020-02-17	deceased	0
2020-02-18	test	9772
2020-02-18	confirmed	31
2020-02-18	negative	8923
2020-02-18	deceased	0
2020-02-19	test	11173
2020-02-19	confirmed	51
2020-02-19	negative	9973
2020-02-19	deceased	0
2020-02-20	test	13202
2020-02-20	confirmed	104
2020-02-20	negative	11238
2020-02-20	deceased	1
2020-02-21	test	16400
2020-02-21	confirmed	204
2020-02-21	negative	13016
2020-02-21	deceased	2
2020-02-22	test	21586
2020-02-22	confirmed	433
2020-02-22	negative	15116
2020-02-22	deceased	2
2020-02-23	test	26179
2020-02-23	confirmed	602
2020-02-23	negative	17520
2020-02-23	deceased	6
2020-02-24	test	32756
2020-02-24	confirmed	833
2020-02-24	negative	20292
2020-02-24	deceased	8
2020-02-25	test	40304
2020-02-25	confirmed	977
2020-02-25	negative	25447
2020-02-25	deceased	12
2020-02-26	test	53553
2020-02-26	confirmed	1261
2020-02-26	negative	31576
2020-02-26	deceased	12
2020-02-27	test	66652
2020-02-27	confirmed	1766
2020-02-27	negative	39318
2020-02-27	deceased	13
2020-02-28	test	81167
2020-02-28	confirmed	2337
2020-02-28	negative	48593
2020-02-28	deceased	13
2020-02-29	test	94055
2020-02-29	confirmed	3150
2020-02-29	negative	55723
2020-02-29	deceased	17
2020-03-01	test	98921
2020-03-01	confirmed	3736
2020-03-01	negative	61825
2020-03-01	deceased	18
2020-03-02	test	109591
2020-03-02	confirmed	4212
2020-03-02	negative	71580
2020-03-02	deceased	22
2020-03-03	test	125851
2020-03-03	confirmed	4812
2020-03-03	negative	85484
2020-03-03	deceased	28
2020-03-04	test	136707
2020-03-04	confirmed	5328
2020-03-04	negative	102965
2020-03-04	deceased	32
2020-03-05	test	146541
2020-03-05	confirmed	5766
2020-03-05	negative	118965
2020-03-05	deceased	35
2020-03-06	test	164740
2020-03-06	confirmed	6284
2020-03-06	negative	136624
2020-03-06	deceased	42
2020-03-07	test	178189
2020-03-07	confirmed	6767
2020-03-07	negative	151802
2020-03-07	deceased	44
2020-03-08	test	188518
2020-03-08	confirmed	7134
2020-03-08	negative	162008
2020-03-08	deceased	50
2020-03-09	test	196618
2020-03-09	confirmed	7382
2020-03-09	negative	171778
2020-03-09	deceased	51
2020-03-10	test	210144
2020-03-10	confirmed	7513
2020-03-10	negative	184179
2020-03-10	deceased	54
2020-03-11	test	222395
2020-03-11	confirmed	7755
2020-03-11	negative	196100
2020-03-11	deceased	60
2020-03-12	test	234998
2020-03-12	confirmed	7869
2020-03-12	negative	209402
2020-03-12	deceased	66
2020-03-13	test	248647
2020-03-13	confirmed	7979
2020-03-13	negative	222728
2020-03-13	deceased	67
2020-03-14	test	261335
2020-03-14	confirmed	8086
2020-03-14	negative	235615
2020-03-14	deceased	72
2020-03-15	test	268212
2020-03-15	confirmed	8126
2020-03-15	negative	243778
2020-03-15	deceased	75
2020-03-16	test	274504
2020-03-16	confirmed	8236
2020-03-16	negative	251297
2020-03-16	deceased	75
2020-03-17	test	286716
2020-03-17	confirmed	8320
2020-03-17	negative	261105
2020-03-17	deceased	81
2020-03-18	test	295647
2020-03-18	confirmed	8413
2020-03-18	negative	270888
2020-03-18	deceased	84
2020-03-19	test	307024
2020-03-19	confirmed	8565
2020-03-19	negative	282555
2020-03-19	deceased	91
2020-03-20	test	316664
2020-03-20	confirmed	8652
2020-03-20	negative	292487
2020-03-20	deceased	94
2020-03-21	test	327509
2020-03-21	confirmed	8799
2020-03-21	negative	303006
2020-03-21	deceased	102
2020-03-22	test	331780
2020-03-22	confirmed	8897
2020-03-22	negative	308343
2020-03-22	deceased	104
2020-03-23	test	338036
2020-03-23	confirmed	8961
2020-03-23	negative	315447
2020-03-23	deceased	111
2020-03-24	test	348582
2020-03-24	confirmed	9037
2020-03-24	negative	324105
2020-03-24	deceased	120
2020-03-25	test	357896
2020-03-25	confirmed	9137
2020-03-25	negative	334481
2020-03-25	deceased	126
2020-03-26	test	364942
2020-03-26	confirmed	9241
2020-03-26	negative	341332
2020-03-26	deceased	131
2020-03-27	test	376961
2020-03-27	confirmed	9332
2020-03-27	negative	352410
2020-03-27	deceased	139
