infection_case	state	age_group	count	sd	average_duration
contact with patient	isolated	0s	13	10.521041188604277	27.23076923076923
contact with patient	isolated	10s	38	10.622850380823937	21.42105263157895
contact with patient	isolated	20s	87	10.650356750082898	21.32183908045977
contact with patient	isolated	30s	62	12.90026010338787	19.903225806451612
contact with patient	isolated	40s	94	11.664419497932482	19.52127659574468
contact with patient	isolated	50s	118	10.715460432418169	19.610169491525422
contact with patient	isolated	60s	84	11.167034871178364	21.178571428571427
contact with patient	isolated	70s	34	13.243099302821262	16.88235294117647
contact with patient	isolated	80s	16	13.30100246848585	14.375
contact with patient	isolated	90s	8	6.556076788533128	14.125
contact with patient	released	0s	9	3.929942040850532	17.22222222222222
contact with patient	released	10s	12	6.254089571123552	18.25
contact with patient	released	20s	23	7.158841516454147	17.391304347826086
contact with patient	released	30s	29	7.473434066663629	19.93103448275862
contact with patient	released	40s	45	7.35142396705797	22.155555555555555
contact with patient	released	50s	33	4.704527155578524	18.151515151515152
contact with patient	released	60s	17	8.769516050769614	22.176470588235293
contact with patient	released	70s	10	5.223876806442595	20.2
contact with patient	released	80s	3	8.504900548115382	17.333333333333332
other	isolated	0s	9	7.416198487095663	11
other	isolated	100s	1	NA	27
other	isolated	10s	26	11.784801163428192	16.192307692307693
other	isolated	20s	281	13.751456917776537	19.612099644128115
other	isolated	30s	142	12.820257606397625	22.098591549295776
other	isolated	40s	130	12.348555450149883	24.2
other	isolated	50s	179	12.851910950908271	23.949720670391063
other	isolated	60s	124	14.48839031684505	24.806451612903224
other	isolated	70s	81	12.669846092198595	25.11111111111111
other	isolated	80s	77	9.637287320798457	26.792207792207794
other	isolated	90s	17	7.709333533413363	28.058823529411764
other	released	0s	4	10.23067283548187	26
other	released	10s	25	7.94250170496257	18.8
other	released	20s	194	7.046203026067121	19.70618556701031
other	released	30s	74	8.315555515539847	18.405405405405407
other	released	40s	96	7.240238437481112	19.75
other	released	50s	139	7.774343244743034	19.66906474820144
other	released	60s	70	8.331399361506504	22.52857142857143
other	released	70s	26	6.956679137015349	19.653846153846153
other	released	80s	16	6.207522318391883	22.5
other	released	90s	9	4.893306085301066	23.77777777777778
