.rownames	city	confirmed	code	province	latitude	longitude	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
1	Andong-si	50	60110	Gyeongsangbuk-do	36.568441	128.729551	30	42	3	1.57	23.95	12.4	290	4. High	-0.19299539764056312	-0.48932085828742433	0.1708601706745527	-0.9396510998520174	0.2258949270059109	-0.020040294846096356	0.08756835500388578
2	Ansan-si	16	20150	Gyeonggi-do	37.321863	126.83092	54	94	4	1.49	10.35	4.6	1024	3. Moderate	-3.2877434066517544	-0.5860428973102514	0.4348501788847844	0.3590770719576649	-0.24186314578273652	0.13509856210242072	-0.15600414716035482
3	Anseong-si	2	20160	Gyeonggi-do	37.008008	127.279763	35	51	3	1.27	16.95	7.2	271	2. Low	-0.9057519016657056	-0.05728336507660794	0.8989552155227283	-0.11115892169065489	0.36402361034864017	-0.09151854176348678	0.0835336848518331
4	Anyang-si	18	20170	Gyeonggi-do	37.394258	126.956752	41	79	4	1.86	12.88	5.1	1099	3. Moderate	-2.956990213375469	-0.10084765606523696	0.049639124023108355	-0.34064857344307087	-0.6008822672944111	0.29147226452160546	0.014926856429419289
5	Asan-si	10	41100	Chungcheongnam-do	36.789844	127.00242	46	60	3	1.29	12.89	6.1	435	3. Moderate	-1.6700371428311083	-0.11655568928107876	0.8205582440521498	0.24838527773785082	0.39959787608152747	-0.2805134541400262	-0.17138022252099647
6	Bonghwa-gun	71	60080	Gyeongsangbuk-do	36.893099	128.732568	14	17	0	0.37	35.26	20	47	4. High	2.9156095343232353	-1.1481156346835557	-0.1652265103159264	0.31574013945932566	-0.13212040135774258	0.07171506781896622	0.06724688447857424
7	Bucheon-si	70	20110	Gyeonggi-do	37.503393	126.766049	64	124	4	1.51	12.77	5.4	1432	4. High	-4.063056364878856	-1.4053028850121458	-0.23460079587698182	0.7008600150445276	-0.569549306781745	0.3763606682134495	0.009996130779961745
8	Buk-gu	10	11080	Busan	35.197483	128.990224	27	37	1	1.35	16.04	8.4	465	3. Moderate	-0.3960034561817485	0.6222929076530399	0.017370267886946504	0.3171416072417294	0.06796779327132405	-0.05438562140279137	-0.16872890075938027
9	Buk-gu	10	12050	Daegu	35.892506	128.583779	38	73	4	1.43	13.95	6.3	748	3. Moderate	-2.1350447913835846	-0.30467913842362254	0.6986944131453359	-0.14639693491926126	-0.27494943043647646	0.2876232084295499	-0.037674586200625276
10	Buk-gu	10	13040	Gwangju	35.174434	126.912061	46	105	6	2.13	14.35	6.9	782	3. Moderate	-3.400969742816373	-0.9134273424072221	0.5546510953124709	-1.272321729055823	0.15832054519898545	0.6920047644815641	0.11695277636113784
